,GSV_ID,SBI,SLI,SVI,TFI,PSI,SI,GVI,SAI,AI,EPI
158,5z11PYrXu-asdieDTKyGMQ,0.02,0.0,0.0,0.02,0.06,0.08,0.43,0.0,14.73,1.95
159,5ZNNzQhs-769QBHnkiU4HQ,0.03,0.0,0.0,0.07,0.04,0.18,0.27,0.0,7.63,1.66
160,5zVv0m60nAw_i5MLHecbFw,0.0,0.0,0.01,0.14,0.19,0.06,0.01,0.0,1116.32,1.25
161,69Y9PmLS-TSwgFlEMwUZeg,0.01,0.0,0.0,0.01,0.01,0.34,0.25,0.0,35.94,0.98
162,6aeLxEko4KryBtpGFGjVog,0.1,0.0,0.0,0.0,0.0,0.38,0.16,0.0,3.0,0.96
163,6F2vw4Z5mWICOupghUEB1A,0.02,0.0,0.0,0.07,0.04,0.21,0.39,0.0,11.02,1.96
164,6F5v_RQRh2UH74zpEuAuHQ,0.03,0.0,0.0,0.04,0.01,0.2,0.31,0.0,8.62,1.3
165,6ff7-q-IMxaKAJXQrCibFg,0.12,0.0,0.0,0.11,0.04,0.14,0.05,0.0,0.98,5.18
166,6hA01reMLgjAeO6jhwHyvw,0.01,0.0,0.0,0.1,0.06,0.22,0.05,0.0,46.5,0.99
167,6hW2GHPKAQbe7lE15uOsnA,0.05,0.0,0.0,0.0,0.08,0.23,0.32,0.0,7.04,1.11
168,6Jtw1h_ZQqnUSQQvfr3ABg,0.03,0.0,0.0,0.07,0.12,0.1,0.14,0.0,10.79,1.25
169,6mDq3xQoaEaQHGc1BRqkUQ,0.04,0.0,0.0,0.04,0.06,0.08,0.02,0.0,8.64,1.57
170,6nR3jEv4UugBm_UBoB2XiA,0.04,0.0,0.0,0.01,0.11,0.23,0.17,0.0,9.06,1.06
171,6nzJI44BN516nJW8MbHW0Q,0.0,0.0,0.0,0.07,0.18,0.04,0.02,0.0,79.01,1.64
172,6OoK9e2XGle-qOO6aDeWMQ,0.14,0.0,0.0,0.01,0.09,0.17,0.25,0.0,2.0,1.87
173,6PfhQ4oSXVY6nvB9MrYW6g,0.03,0.0,0.0,0.05,0.0,0.38,0.05,0.0,11.49,0.42
174,6VA4t2uaAdKQ68_tesi2uw,0.05,0.0,0.0,0.01,0.09,0.16,0.1,0.0,7.05,1.19
175,6VnKCg1B8nidoa86wBmo1Q,0.06,0.0,0.0,0.02,0.08,0.13,0.04,0.0,4.11,2.27
176,6wUVUqtrUfef4VUgpet27Q,0.02,0.0,0.0,0.04,0.09,0.01,0.25,0.0,18.38,1.62
177,6x4Pl51DNzIQ2NmhmVKrXQ,0.04,0.0,0.0,0.02,0.11,0.19,0.06,0.0,8.33,1.22
178,6x5X2d8vfJoamH00DxeMLQ,0.02,0.0,0.0,0.07,0.03,0.17,0.18,0.0,13.49,1.47
179,70Ms1UrD6DWacum2CNb_cQ,0.07,0.0,0.0,0.05,0.06,0.02,0.04,0.0,3.85,2.15
180,71PGPmyu-4oaadueZz-_6A,0.0,0.0,0.0,0.03,0.13,0.03,0.04,0.0,91.17,2.26
181,75D90yRI5F8Bx4oZnF9IgQ,0.0,0.0,0.0,0.02,0.11,0.06,0.01,0.0,999.0,1.42
182,75FDHcJYcwpcSgB-cYCG0g,0.02,0.0,0.0,0.06,0.08,0.28,0.03,0.0,19.47,0.86
183,75oFPvRMp7j61Hmugl7KBA,0.02,0.0,0.0,0.03,0.01,0.31,0.1,0.0,23.42,0.67
184,76SVMVzYpwnHqDmh314LCA,0.0,0.0,0.0,0.03,0.13,0.15,0.01,0.0,999.0,1.38
185,788WksiUW-WJc904OQo0Tg,0.07,0.0,0.0,0.02,0.06,0.25,0.24,0.0,4.22,1.4
186,7AGvfFiR9nwlwHH_VT_f4Q,0.01,0.0,0.0,0.0,0.04,0.1,0.5,0.0,37.95,1.52
187,7aJlnerBg8yCVB1O5OUq6g,0.08,0.0,0.0,0.02,0.02,0.24,0.24,0.0,4.26,1.16
188,7B6wuDDrfrqFO0ki9DPQMg,0.01,0.0,0.0,0.03,0.12,0.11,0.11,0.0,48.84,1.44
189,7dI6CGU9mv3Udl65UgkpBw,0.07,0.0,0.0,0.05,0.0,0.31,0.27,0.0,3.59,1.35
190,7DOl5frH31D1aCCPAaoY1A,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,999.0
191,7DxBhli8Rr-6kjZayP8RFA,0.0,0.0,0.0,0.08,0.07,0.06,0.03,0.0,106.8,1.71
192,7f6dKAVdZua0C_KwqA6ZZQ,0.2,0.0,0.0,0.0,0.02,0.26,0.32,0.0,1.06,2.46
193,7hVVZcrfeOjh2ZwuSKokNw,0.0,0.0,0.0,0.01,0.1,0.15,0.01,0.0,275.49,1.21
194,7HWKeLKsyBzf2s9PrvleTw,0.01,0.0,0.0,0.03,0.01,0.22,0.1,0.0,60.8,0.8
195,7ii3-jTm42pfbjdpOFUKYQ,0.05,0.0,0.0,0.04,0.01,0.24,0.18,0.0,6.77,1.01
196,7Io5y0MmxdqR5AY-k61mBg,0.05,0.0,0.0,0.0,0.05,0.07,0.6,0.0,2.52,5.51
197,7j5zO8POGWQWv3N4I3KdVw,0.04,0.0,0.0,0.01,0.08,0.09,0.4,0.0,8.28,1.71
198,7kKIqLM2y8c3cyq6QywjJw,0.04,0.0,0.0,0.08,0.07,0.21,0.1,0.0,7.47,1.31
199,7lRxZWoTTyqjaf4f7oUIEA,0.02,0.0,0.0,0.03,0.0,0.18,0.55,0.0,12.48,2.58
200,7m2LPlcrb5tfOPbleqODQw,0.01,0.0,0.0,0.06,0.01,0.26,0.1,0.0,57.26,1.07
201,7N-TVu7KUT5kMtCzlYS6AA,0.03,0.0,0.0,0.01,0.08,0.12,0.13,0.0,11.65,1.52
202,7OMy-25kiCh_ogo7dmsj1A,0.03,0.0,0.0,0.02,0.05,0.23,0.1,0.0,12.62,1.08
203,7OSnY4T-xfkOOg8ziyZ6sw,0.14,0.0,0.0,0.0,0.04,0.08,0.5,0.0,1.41,3.47
