_Collision Id,Borough Name,Borough Number,Easting,Northing,_Vehicle Id,Vehicle Type Banded,Vehicle Type,Vehicle Manoeuvres,Vehicle Skidding and Overturning,Vehicle Restricted Lane,Location of Vehicle at First Impact,Vehicle Hit Object in Carriageway,Vehicle Leaving Carriageway,Vehicle Hit Object Off Carriageway,First Point of Impact,Journey Purpose,Driver Gender,Driver Age,Driver age (Banded)
1220386534,Hillingdon,26,510041,187289,1,Car,Car,Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Front Hit First,Comm To/From Work,Female,61,35-64
1220386550,Sutton,21,527466,165768,1,Car,Car,Moving Off,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,40,35-64
1220386553,Kensington & Chelsea,12,524549,180183,2,Car,Car,Slowing Or Stopping,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,51,35-64
1220386554,Ealing,27,515680,180184,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,60,35-64
1220386566,Kensington & Chelsea,12,525595,180554,1,Goods Vehicle,GDS =< 3.5T,Turning Left,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,36,35-64
1220386595,Southwark,8,533469,175384,1,Goods Vehicle,GDS =< 3.5T,Moving Off,Skidded,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Comm To/From Work,Male,29,25-34
1220386599,Bromley,19,542625,163125,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,Hit Animal (Not Rid-horse),Did Not Leave,None,Front Hit First,Other/Not Known,Male,20,17-24
1220386602,Bexley,18,547564,171307,2,Goods Vehicle,GDS =< 3.5T,Going Ahead Right Bend,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Comm To/From Work,Male,32,25-34
1220386613,Enfield,32,532656,191748,1,Car,Car,Change Lane To Left,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,25,25-34
1220386614,Southwark,8,534185,176090,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,57,35-64
1220386615,Barnet,30,521279,193192,1,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,36,35-64
1220386615,Barnet,30,521279,193192,2,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Male,49,35-64
1220386617,Croydon,20,531434,164411,1,Car,Car,Turning Left,No Skidding/Overturn,On Main CW - Not Rest.,Leaving Main Rd,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,46,35-64
1220386619,Newham,17,541777,181705,1,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Entering R'about,None,Did Not Leave,None,Front Hit First,Comm To/From Work,Male,25,25-34
