,GSV_ID,Person,Bike,HeavyV,LightV,Facade,WindowOpening,Road,Sidewalk,StreetFurniture,GreeneryTree,GreeneryGrass,Sky,Nature
39,vGMwVZzLsQ6Akq0_s6MOWQ,0.0,0.0,0.0,0.01,0.35,0.0,0.22,0.11,0.01,0.14,0.02,0.1,0.0
40,t6j-qXPxt3ZKW-w_ZBWl-A,0.0,0.0,0.0,0.06,0.13,0.0,0.34,0.04,0.01,0.23,0.01,0.16,0.0
41,brxjzEiFZqJ9ETUuSHzrkg,0.0,0.0,0.0,0.03,0.26,0.0,0.24,0.09,0.0,0.06,0.02,0.23,0.0
42,3cR_YNnXXe_9SvzA2ri4EA,0.0,0.0,0.0,0.01,0.17,0.0,0.2,0.08,0.0,0.34,0.0,0.1,0.0
43,TKCNSm-DphISeq2BVQr0HA,0.0,0.0,0.0,0.0,0.16,0.0,0.25,0.11,0.0,0.12,0.02,0.28,0.0
44,IuBIpYoh3UzbcKOJrA2uvA,0.0,0.0,0.0,0.09,0.47,0.0,0.18,0.02,0.01,0.09,0.08,0.05,0.0
45,-MJZFCAEhzE0H710n2jmkg,0.01,0.0,0.0,0.01,0.32,0.0,0.21,0.17,0.0,0.13,0.0,0.13,0.0
46,LNQ6WlHVx1XkPX7eluUXzA,0.01,0.0,0.0,0.01,0.47,0.0,0.22,0.11,0.02,0.06,0.0,0.06,0.0
47,TNwT7nsfZAATFW91yOwprg,0.0,0.0,0.0,0.06,0.38,0.0,0.28,0.06,0.0,0.03,0.01,0.16,0.0
48,W3K8oc8rp21QosuRq574xw,0.0,0.01,0.01,0.06,0.05,0.0,0.16,0.12,0.02,0.37,0.03,0.11,0.0
49,bSyb6GOt2adiEW6cR7iUVQ,0.0,0.0,0.01,0.03,0.51,0.0,0.3,0.06,0.01,0.01,0.01,0.06,0.0
50,3mWnhVYEj8Jw2NrvC5MtzQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.04,0.09,0.0
51,yywv9Pl6sH9p452CnkbpPA,0.02,0.0,0.0,0.05,0.49,0.0,0.21,0.13,0.01,0.0,0.0,0.08,0.0
52,_UyabFBOhe576_EsBCicCA,0.0,0.0,0.02,0.09,0.32,0.0,0.22,0.03,0.0,0.04,0.05,0.21,0.0
53,BhD-kJAjunfItktvmX7EtQ,0.01,0.0,0.0,0.01,0.11,0.0,0.3,0.04,0.0,0.2,0.01,0.28,0.0
54,52se00tocD0qzjqRuWJe5w,0.0,0.0,0.0,0.09,0.48,0.0,0.18,0.03,0.0,0.02,0.01,0.16,0.0
55,H727TBV8PVBIi3M0bhXfAA,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0.0,0.53,0.18,0.06,0.01
56,RKPL6txAWBh-QAPTNCTc-A,0.0,0.0,0.0,0.01,0.33,0.0,0.27,0.04,0.0,0.12,0.0,0.18,0.0
57,QIZhZ0gkkV-Rr_YmxJrRnw,0.01,0.0,0.0,0.1,0.3,0.0,0.27,0.02,0.0,0.08,0.0,0.2,0.0
58,eaCTqFPgeBw1KQDAKzO3aQ,0.0,0.0,0.0,0.0,0.01,0.0,0.33,0.0,0.01,0.32,0.0,0.22,0.0
59,TIxPewyxt5hhN60UFLa7Og,0.0,0.0,0.0,0.07,0.18,0.0,0.24,0.02,0.0,0.2,0.08,0.21,0.01
60,1AXhePruFwG1CGuPe4hSUA,0.0,0.0,0.0,0.02,0.13,0.01,0.28,0.01,0.06,0.28,0.02,0.15,0.0
61,Wxr8twhhQXt3KM6TINHBog,0.0,0.0,0.0,0.05,0.59,0.01,0.18,0.01,0.0,0.02,0.0,0.03,0.0
62,7PmIhLJLb0keMQS27yICYA,0.0,0.0,0.0,0.19,0.55,0.0,0.13,0.02,0.0,0.04,0.0,0.06,0.0
63,aV_yUv5L-vMYkZfxP9mgrQ,0.0,0.0,0.0,0.02,0.18,0.0,0.29,0.0,0.0,0.15,0.01,0.25,0.0
64,rPhN0b6dzZSuCHmDk-sv5A,0.03,0.0,0.0,0.0,0.47,0.0,0.16,0.16,0.01,0.08,0.0,0.07,0.0
65,sDs_BhPSO0yqRvUKnYYELw,0.0,0.0,0.0,0.02,0.26,0.0,0.29,0.08,0.0,0.16,0.03,0.13,0.0
66,oIYSTnYMgR6td_eEoiA9wg,0.0,0.0,0.0,0.01,0.12,0.0,0.33,0.04,0.01,0.11,0.04,0.3,0.0
67,CFpo7XrbxEL9ay1N1A8-pg,0.0,0.0,0.0,0.0,0.51,0.0,0.17,0.13,0.0,0.03,0.0,0.1,0.0
68,JjfZ5oCKIRCU2JOrLh2oKQ,0.0,0.0,0.03,0.1,0.29,0.0,0.19,0.01,0.0,0.06,0.0,0.22,0.0
69,naaWXsyYHhq99eLNNZoc8w,0.0,0.0,0.0,0.0,0.01,0.0,0.17,0.0,0.01,0.36,0.09,0.25,0.0
70,KYO03807alOUm3fHEXn2hA,0.01,0.0,0.0,0.03,0.28,0.0,0.27,0.09,0.01,0.18,0.01,0.09,0.0
71,nMk2hFCHTE2BX8frFpnhUA,0.0,0.0,0.0,0.06,0.13,0.0,0.31,0.04,0.01,0.23,0.02,0.16,0.0
72,gw0IXeyJ0LmTz0EoNi5New,0.0,0.0,0.0,0.0,0.07,0.0,0.22,0.11,0.02,0.24,0.04,0.26,0.0
73,OxUjm6HrtJSJkoPBf5VG0A,0.0,0.0,0.0,0.05,0.18,0.0,0.28,0.03,0.0,0.17,0.05,0.22,0.01
74,7WlPDD93BPM5a4l3mtWoZA,0.01,0.0,0.0,0.05,0.35,0.0,0.17,0.14,0.0,0.06,0.01,0.2,0.0
75,hj5LvFQ9Ku2ZHkKOFF25wQ,0.0,0.0,0.0,0.06,0.49,0.0,0.22,0.09,0.0,0.03,0.01,0.08,0.0
76,3P_txYamRyo1TrOp35en7w,0.0,0.0,0.0,0.07,0.38,0.0,0.24,0.07,0.0,0.12,0.0,0.09,0.0
77,bqQUnQkEg7VwtARJjZwLlw,0.0,0.0,0.0,0.02,0.26,0.0,0.17,0.14,0.01,0.02,0.02,0.32,0.0
78,s4c-3ymE4srdfmZsCzflTw,0.0,0.0,0.0,0.02,0.21,0.0,0.37,0.01,0.01,0.07,0.01,0.27,0.0
79,dnqMfwLduN9c_Cd29Iff7w,0.0,0.0,0.0,0.01,0.07,0.0,0.23,0.01,0.0,0.26,0.14,0.27,0.0
