,GSV_ID,Person,Bike,HeavyV,LightV,Facade,WindowOpening,Road,Sidewalk,StreetFurniture,GreeneryTree,GreeneryGrass,Sky,Nature
0,PeXgJKELjl10VLizrA5Y8A,0.01,0.0,0.0,0.01,0.51,0.0,0.23,0.1,0.02,0.0,0.0,0.05,0.0
1,CAoSLEFGMVFpcE1iNnJXajZOU0RrUDJJbVhnX1ZuNG1Ed1gydHJKdVc0YU9mN3Fk,0.0,0.0,0.0,0.05,0.44,0.0,0.04,0.01,0.01,0.01,0.0,0.02,0.0
2,JZtGZJvxmioygj_JJFE5Fw,0.0,0.0,0.0,0.0,0.45,0.0,0.25,0.11,0.01,0.0,0.0,0.18,0.0
3,07HqIOV9HwtQqV4ciBxvTg,0.0,0.0,0.0,0.01,0.09,0.0,0.23,0.05,0.0,0.29,0.14,0.18,0.0
4,OdfG0KLgQng_736X9MJvPQ,0.0,0.0,0.0,0.03,0.0,0.0,0.32,0.0,0.0,0.26,0.0,0.33,0.0
5,d1vxiZZ3BUGT3DBvJdIKbA,0.0,0.0,0.0,0.07,0.27,0.01,0.2,0.0,0.0,0.02,0.01,0.36,0.0
6,B8dsmqEuEWdoiHtcmMGBMg,0.0,0.0,0.0,0.03,0.26,0.0,0.27,0.1,0.01,0.14,0.01,0.17,0.0
7,kbbVO58PklYdem8PjXTIxQ,0.0,0.0,0.0,0.05,0.04,0.0,0.11,0.04,0.0,0.38,0.18,0.11,0.0
8,imdPGzNV_1oK312sZqGMEQ,0.0,0.0,0.0,0.0,0.43,0.03,0.15,0.04,0.01,0.08,0.01,0.07,0.0
9,WVNrcQSHaHnFApmSRVV6Rw,0.0,0.0,0.0,0.07,0.36,0.0,0.19,0.12,0.02,0.04,0.0,0.19,0.0
10,nB_d4UbNQtYAa1Y8TjJ4DA,0.0,0.0,0.0,0.04,0.11,0.0,0.22,0.04,0.0,0.4,0.05,0.06,0.0
11,CAoSLEFGMVFpcE9ocFQwUWxVTFZ3cFZOLVhFQlRWTGlNczNRcjI0b3pxS0dSRVRH,0.0,0.0,0.14,0.0,0.52,0.0,0.05,0.07,0.0,0.01,0.0,0.01,0.0
12,adouBxVM0LpSeUXswtpwcA,0.0,0.0,0.0,0.02,0.39,0.0,0.33,0.04,0.01,0.0,0.0,0.2,0.0
13,Gbf65v-8Je9TA68UQMQfXw,0.0,0.0,0.0,0.03,0.26,0.0,0.24,0.02,0.0,0.04,0.08,0.28,0.0
14,18H0eHc8FcKwRuAOfO8T2A,0.0,0.0,0.0,0.01,0.15,0.0,0.32,0.1,0.01,0.26,0.01,0.12,0.0
15,pIeafdhJwsJPi3lwKvxzgw,0.0,0.0,0.0,0.07,0.11,0.0,0.3,0.01,0.02,0.03,0.0,0.35,0.0
16,cMr9w8FluA9yGef5eXxb6Q,0.0,0.0,0.0,0.02,0.34,0.0,0.24,0.02,0.0,0.01,0.01,0.27,0.0
17,ZXaLKkcqF4EwFsqNAYufkw,0.0,0.0,0.0,0.09,0.27,0.0,0.25,0.01,0.0,0.03,0.01,0.3,0.0
18,y_tdIcAuzkSGnOO3mjGDRw,0.0,0.0,0.0,0.02,0.17,0.0,0.3,0.03,0.0,0.24,0.04,0.19,0.0
19,0Xq43gSCMDdayextMv5Ljg,0.0,0.0,0.0,0.02,0.55,0.0,0.13,0.12,0.01,0.07,0.0,0.05,0.0
20,yFeOfFkbufIpEbo8CshCTw,0.0,0.0,0.0,0.01,0.36,0.0,0.32,0.03,0.0,0.11,0.01,0.1,0.0
21,azb1iTAkAbK0jtbwP5irqA,0.0,0.0,0.0,0.02,0.38,0.0,0.26,0.05,0.01,0.04,0.03,0.17,0.0
22,IvjwvD149tazPKOC_Ee65w,0.0,0.0,0.0,0.02,0.19,0.0,0.26,0.09,0.0,0.22,0.04,0.14,0.0
23,ipXA8vIDwOTLoAJMC0LSNQ,0.0,0.0,0.0,0.04,0.42,0.01,0.22,0.12,0.01,0.15,0.0,0.03,0.0
24,2rGib595mKXCsuv2Ix_LXg,0.0,0.0,0.0,0.08,0.32,0.0,0.27,0.02,0.0,0.03,0.02,0.22,0.0
25,WAQMOkQB117uxeQevIV6UA,0.01,0.0,0.0,0.03,0.41,0.0,0.19,0.1,0.0,0.08,0.01,0.11,0.0
26,vnrwCzdaVnrplfB3PVg1Yw,0.0,0.0,0.0,0.02,0.16,0.0,0.3,0.01,0.02,0.19,0.0,0.27,0.0
