,_Collision Id,Easting,Northing,geometry,GSV_ID
52,1200230252,527459,183381,POINT (-0.1637225101069883 51.53495347809573),yzuH54cinYP8HRLleRiUYQ
53,1200230636,529175,179520,POINT (-0.1404093802878496 51.499866188597245),cuiwVGW2egzXyfsd4EOUcQ
54,1200230649,530113,180184,POINT (-0.1266589577957219 51.50561839155021),1WZJSYsVp6DEWkPT96CoUw
55,1200230957,527053,181185,POINT (-0.1703641413877306 51.51530981858963),xKcchfEvjlyBBt5AQcWM8w
56,1200231025,529878,178375,POINT (-0.1307082614396744 51.48941549788021),1m7ArGYmxw5agBbaarZwQQ
57,1200231091,526200,182923,POINT (-0.1820285562148299 51.53112006135171),RCFYu-mzT-BXimhEsO4gfA
58,1200231227,527732,182024,POINT (-0.1602803100122254 51.522696774718426),LSyyyqHZIO4EItZ8hgAcuA
59,1200231269,526310,183321,POINT (-0.1803009702550809 51.534672264278996),dpdYHbgxUp8KNz4zZ6-T5g
60,1200231490,530061,180593,POINT (-0.1272570643609642 51.50930588836835),nQnw2bsh_96skVNV-IRNBw
61,1200231710,529710,180697,POINT (-0.13227373992715 51.51032110735755),CAoSLEFGMVFpcE9qRERIU0NxQTlQOUpaM01RdmtCNzlOM0I5RGxsRGJ5WDZlS01J
62,1200231767,526364,181140,POINT (-0.1803044037898026 51.515059794231234),CAoSLEFGMVFpcE9mY0REU3pVZEE3V1ctN25BVGZYb1V1N3ZESTZvTVNXcHlHbE5s
63,1200231797,529832,180953,POINT (-0.1304225438451432 51.51259369836399),QCvQAXA5EsHpa0ZhaygmSg
64,1200231873,526624,182914,POINT (-0.1759225117522392 51.53094434223939),aday1RXLva0Rqsh4SNhMng
65,1200232037,528437,179892,POINT (-0.1509002248301256 51.5033772817802),xxjEios91DsCZsr7nCtdSA
66,1200232126,528798,180661,POINT (-0.1454213513085963 51.51020601059919),CAoSLEFGMVFpcE1zNXlDa3BNNTJCV1g3TURWOUx0alRadS0tSnItNndGeXE3WEly
67,1200232799,530964,181058,POINT (-0.1140801234732812 51.5132762743268),Tz1Pn9yXrWce-fp_CUr6mw
68,1200233170,526760,182552,POINT (-0.1740931058471772 51.52766061598537),0T23mTkmwa-JEdfP2CjIzw
