,GSV_ID,Person,Bike,HeavyV,LightV,Facade,WindowOpening,Road,Sidewalk,StreetFurniture,GreeneryTree,GreeneryGrass,Sky,Nature
0,WgoXuTYYlCn0xWGIFE5sZQ,0.0,0.0,0.0,0.03,0.21,0.0,0.25,0.04,0.01,0.1,0.09,0.24,0.0
1,iCIUU93iqggsqj1tf-Hy0A,0.0,0.0,0.0,0.06,0.62,0.0,0.18,0.04,0.01,0.0,0.0,0.05,0.0
2,Ix1e7mGK1-NMTO2aLZNfKw,0.0,0.0,0.0,0.01,0.15,0.0,0.24,0.05,0.0,0.13,0.09,0.3,0.0
3,DTXmEYQz3B-kRLh2OuYqAw,0.0,0.0,0.0,0.03,0.19,0.0,0.14,0.1,0.0,0.16,0.19,0.14,0.0
4,HSAvNpINJXVx-SFsrKFsoA,0.0,0.0,0.0,0.04,0.37,0.0,0.29,0.05,0.0,0.02,0.0,0.21,0.0
5,9elkYJoXk-WpfPBEvkp2XA,0.0,0.0,0.0,0.01,0.16,0.0,0.15,0.13,0.0,0.14,0.11,0.25,0.0
6,mbJhiO6q_E6WhivkyKwfAQ,0.0,0.0,0.0,0.09,0.32,0.0,0.11,0.08,0.0,0.11,0.04,0.16,0.0
7,JBZ9WtpGemMR622_6xPnLw,0.0,0.0,0.0,0.03,0.01,0.0,0.4,0.0,0.02,0.2,0.01,0.33,0.0
8,788nzL_rd28ue-KvFqaGhQ,0.0,0.0,0.0,0.11,0.18,0.0,0.22,0.06,0.03,0.33,0.0,0.03,0.0
9,y5RAGfqIH_BjNL3dhVzQCg,0.0,0.0,0.0,0.06,0.47,0.0,0.29,0.05,0.0,0.01,0.0,0.07,0.0
10,t_Ikoj40LGGYS0bWoNqD1g,0.0,0.0,0.0,0.03,0.1,0.0,0.03,0.04,0.0,0.28,0.09,0.18,0.01
11,CAoSLEFGMVFpcE5YUTE3YlNIQWtZX2tzNU9fbEZ2WWd5T3BNMTgxZGJIOUJPcDcx,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.13,0.0,0.03,0.05
12,H8epw87Kkh4JvbRbr06Xnw,0.0,0.0,0.0,0.11,0.34,0.0,0.16,0.05,0.0,0.06,0.03,0.21,0.0
13,dB8Ct7FmK-Fjd9wJnqfxsA,0.0,0.0,0.0,0.01,0.25,0.0,0.27,0.09,0.0,0.1,0.02,0.24,0.0
14,076xKLjaEGf_sntZjSG9Bw,0.01,0.0,0.0,0.02,0.2,0.0,0.22,0.0,0.0,0.13,0.0,0.17,0.0
15,iLta3q85XE-Odk49gFnGZg,0.0,0.0,0.0,0.01,0.55,0.0,0.15,0.17,0.03,0.01,0.0,0.07,0.0
16,diebzdpQdpZRgyTqX3MBXg,0.0,0.0,0.02,0.01,0.21,0.0,0.24,0.08,0.0,0.28,0.06,0.07,0.0
17,JYcb9hVi6AHTdt5HpYK9UQ,0.0,0.0,0.0,0.01,0.0,0.0,0.19,0.0,0.0,0.36,0.19,0.23,0.0
18,3dUe_sjbotfjAYVEktI-WQ,0.0,0.0,0.0,0.02,0.09,0.0,0.3,0.06,0.03,0.14,0.03,0.29,0.0
19,nwaleNHHb4ZFnTalFFejbQ,0.0,0.0,0.0,0.02,0.2,0.0,0.27,0.03,0.01,0.2,0.05,0.18,0.0
20,jOqIIoLg0ogS5gWkNV3ZVw,0.0,0.0,0.0,0.11,0.06,0.0,0.11,0.01,0.02,0.43,0.03,0.06,0.0
